KEY|ENGLISH|NOTES|GERMAN|FRENCH|ITALIAN|SPANISH|PORTUGUESE|PORTUGUESE BR|POLISH|RUSSIAN|DANISH|DUTCH|SWEDISH|NORWEGIAN|HUNGARIAN|FINNISH|

ACTION.JOB.CLEAR_GROUND|Clearing {{targetPlant}}|E.g. “Clearing shrub”|Entfernt {{plantDescription}}|Arrachant : {{plantDescription}}|Sta rimuovendo: {{plantDescription}}|Eliminando {{plantDescription}}|Limpar {{plantDescription}}|Retirando {{targetPlant}}|Usuwanie {{plantDescription}}|Расчищает: {{plantDescription}}|||||||
ACTION.JOB.CONSTRUCT_FURNITURE|{{profession.verb}} {{targetDescription}}|E.g. “Crafting furniture”|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|||||||
ACTION.JOB.DECONSTRUCT|Removing {{targetDescription}}|E.g. “Removing stone wall” “Removing wooden wall”|Baut {{targetDescription}} ab|Retirant : {{targetDescription}}|Sta rimuovendo: {{targetDescription}}|Quitando {{targetDescription}}|A remover {{targetDescription}}|Removendo {{targetDescription}}|Usuwa {{targetDescription}}|Удаляет: {{targetDescription}}|||||||
ACTION.JOB.GENERIC|{{profession.verb}} {{targetDescription}}|E.g. “Smelting iron ore”, “Crafting wooden planks”|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|||||||
ACTION.JOB.HARVESTING|Harvesting {{targetPlant}}||Erntet {{targetPlant}}|Récoltant : {{targetPlant}}|Sta raccogliendo: {{targetPlant}}|Cosechando {{targetPlant}}|A colher {{targetPlant}}|Colhendo {{targetPlant}}|Zbiera {{targetPlant}}|Собирает: {{targetPlant}}|||||||
ACTION.JOB.LOGGING|{{profession.verb}} {{targetPlant}}||{{profession.verb}} {{targetPlant}}|{{profession.verb}} : {{targetPlant}}|{{profession.verb}}: {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|||||||
ACTION.JOB.PLANTING|Planting {{requiredItem}}||Pflanzt {{requiredItem}}|Plantant : {{requiredItem}}|Sta piantando: {{requiredItem}}|Colocando {{requiredItem}}|A plantar {{requiredItem}}|Plantando {{requiredItem}}|Sadzi {{requiredItem}}|Сажает: {{requiredItem}}|||||||
ACTION.JOB.REMOVE_PESTS_FROM_CROP|Removing pests from {{targetPlant}}||Entfernt Schädlinge von {{targetPlant}}|Désinsectisant : {{targetPlant}}|Sta disinfestando: {{targetPlant}}|Eliminando plagas de {{targetPlant}}|A remover pragas de {{targetPlant}}|Exterminando pragas de {{targetPlant}}|Usuwa szkodniki z {{targetPlant}}|Избавляет от вредителей: {{targetPlant}}|||||||
ACTION.JOB.TILLING|Tilling the earth||Beackert den Boden|Labourant la terre|Sta arando il terreno|Labrando la tierra|A lavrar a terra|Lavrando a terra|Uprawia ziemię|Обрабатывает землю|||||||
