KEY|NOTES|ENGLISH|GERMAN|FRENCH|ITALIAN|SPANISH|PORTUGUESE|POLISH|RUSSIAN|PORTUGUESE BR|DUTCH|SWEDISH|NORWEGIAN|HUNGARIAN|FINNISH
|||||||||||||||
ACTION.JOB.CLEAR_GROUND|E.g. “Clearing shrub”|Clearing {{targetPlant}}|Entfernt {{plantDescription}}|Arrachant : {{plantDescription}}|Sta rimuovendo: {{plantDescription}}|Eliminando {{plantDescription}}|Limpar {{plantDescription}}|Usuwanie {{plantDescription}}|Расчищает: {{plantDescription}}|Retirando {{targetPlant}}|{plantDescription}} verwijderen|Rensa {{plantDescription}}|Fjerner {{plantDescription}}||Poistaminen: {{plantDescription}}
ACTION.JOB.CONSTRUCT_FURNITURE|E.g. “Crafting furniture”|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}
ACTION.JOB.DECONSTRUCT|E.g. “Removing stone wall” “Removing wooden wall”|Removing {{targetDescription}}|Baut {{targetDescription}} ab|Retirant : {{targetDescription}}|Sta rimuovendo: {{targetDescription}}|Quitando {{targetDescription}}|A remover {{targetDescription}}|Usuwa {{targetDescription}}|Удаляет: {{targetDescription}}|Removendo {{targetDescription}}|||||
ACTION.JOB.GENERIC|E.g. “Smelting iron ore”, “Crafting wooden planks”|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}|{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING||Harvesting {{targetPlant}}|Erntet {{targetPlant}}|Récoltant : {{targetPlant}}|Sta raccogliendo: {{targetPlant}}|Cosechando {{targetPlant}}|A colher {{targetPlant}}|Zbiera {{targetPlant}}|Собирает: {{targetPlant}}|Colhendo {{targetPlant}}|||||
ACTION.JOB.LOGGING||{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} : {{targetPlant}}|{{profession.verb}}: {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|{{profession.verb}} {{targetPlant}}|||||
ACTION.JOB.PLANTING||Planting {{requiredItem}}|Pflanzt {{requiredItem}}|Plantant : {{requiredItem}}|Sta piantando: {{requiredItem}}|Colocando {{requiredItem}}|A plantar {{requiredItem}}|Sadzi {{requiredItem}}|Сажает: {{requiredItem}}|Plantando {{requiredItem}}|||||
ACTION.JOB.REMOVE_PESTS_FROM_CROP||Removing pests from {{targetPlant}}|Entfernt Schädlinge von {{targetPlant}}|Désinsectisant : {{targetPlant}}|Sta disinfestando: {{targetPlant}}|Eliminando plagas de {{targetPlant}}|A remover pragas de {{targetPlant}}|Usuwa szkodniki z {{targetPlant}}|Избавляет от вредителей: {{targetPlant}}|Exterminando pragas de {{targetPlant}}|||||
ACTION.JOB.TILLING||Tilling the earth|Beackert den Boden|Labourant la terre|Sta arando il terreno|Labrando la tierra|A lavrar a terra|Uprawia ziemię|Обрабатывает землю|Lavrando a terra|||||
ACTION.JOB.TRANSFER_LIQUID||Filling {{targetDescription}}|Füllt {{targetDescription}}|Remplissant : {{targetDescription}}|Sta riempiendo: {{targetDescription}}|Llenando {{targetDescription}}|A encher {{targetDescription}}|Wypełnia {{targetDescription}}|Заполняет: {{targetDescription}}|Enchendo {{targetDescription}}|||||
ACTION.SELECT_JOB.DESCRIPTION|When looking for a job to work|Looking for work to do|Sucht Arbeit|Cherchant quoi faire|Sta cercando qualcosa da fare|Buscando qué hacer|À procura de trabalho|Szuka pracy|Ищет работу|Procurando o que fazer|Werkzoekend|Söker efter arbete|Leter etter arbeid||Etsii työtä
ACTION.SLEEP_IN_BED.DESCRIPTION|E.g. “Sleeping in wooden bed”|Sleeping in {{containerDescription}}|Schläft in {{containerDescription}}|Dormant : {{containerDescription}}|Sta dormendo in: {{containerDescription}}|Durmiendo en {{containerDescription}}|A dormir em {{containerDescription}}|Śpi w {{containerDescription}}|Спит в: {{containerDescription}}|Dormindo em {{containerDescription}}|||||
ACTION.SLEEP_ON_FLOOR.DESCRIPTION|E.g. “Sleeping on rough stone floor”|Sleeping on {{tileDescription}}|Schläft auf {{tileDescription}}|Dormant : {{tileDescription}}|Sta dormendo su: {{tileDescription}}|Durmiendo sobre {{tileDescription}}|A dormir em {{tileDescription}}|Śpi na {{tileDescription}}|Спит на: {{tileDescription}}|Dormindo em {{tileDescription}}|||||
|||||||||||||||
CONSTRUCTION.DESCRIPTION|E.g. “Construction of granite stonemason workbench”|Construction of {{materialType.adjective}} {{furnitureType.noun}}|Herstellung von {{furnitureType.noun}} aus {{materialType}}|Construction : {{furnitureType.noun}} {{materialType.adjective}}|Costruzione di: {{furnitureType.noun}} {{materialType.adjective}}|Construcción de {{furnitureType.noun}} {{materialType.adjective}}|Construção de {{materialType.adjective}} {{furnitureType.noun}}|W budowie: {{materialType.adjective}} {{furnitureType.noun}}|Строительство: {{furnitureType.noun}} {{materialType.adjective}}|Fabricação de {{furnitureType.noun}} {{materialType.adjective}}|Constructie van een {{materialType.adjective}} {{furnitureType.noun}}|Konstruktion av {{materialType.adjective}} {{furnitureType.noun}}|Bygging av {{materialType.adjective}} i {{furnitureType.noun}}|Épül: {{materialType.adjective}} {{furnitureType.noun}}|Rakentaminen: {{materialType.adjective}} {{furnitureType.noun}}
CONSTRUCTION.ITEM_ALLOCATION|E.g. “1 of 3 marble blocks allocated” (or assigned)|{{quantity}} of {{itemDescription}} allocated|{{quantity}} von {{itemDescription}} zugewiesen|Assignation : {{quantity}} {{itemDescription}}|Assegnazione di {{itemDescription}}: {{quantity}}|Asignado: {{quantity}} de {{itemDescription}}|{{quantity}} de {{itemDescription}} atribuídos|Liczba przydzielonych {{itemDescription}}: {{quantity}}|Распределено: {{quantity}} из {{itemDescription}}|Alocação: {{quantity}}{{itemDescription}}|||||
CONSTRUCTION.STATUS.CLEARING_WORK_SITE|This is to be displayed when other items need to be cleared out from an area that has something being built over it|Removing other items|Baut andere Gegenstände ab|Retirant d'autres objets|Sta rimuovendo altri oggetti|Eliminando otros objetos|A remover outros itens|Usuwanie innych przedmiotów|Удаление других предметов|Removendo outros itens|||||
